,0,1
0,"It took months, but Sens. Amy Klobuchar (D-Minn.) and Roy Blunt (R-Mo.) have hashed out a deal to require lawmakers to pay out-of-pocket for sexual harassment settlements.",a man and a woman looking at a computer screen
1,"Donald Trump starred alongside Vanessa Bayer and Cecily Strong in the ""Porn Stars"" sketch on ""Saturday Night Live"" in 2015.",three women standing next to a man in a suit and tie
2,"Publix, which has over 1,000 stores across the southeast, has donated more than a half a million dollars to gubernatorial candidate and current agricultural commissioner Adam Putnam.",a publix store is lit up at night
3,"Justin Theroux shooting “Getting Curious With Jonathan Van Ness Live” at the Vulture Festival in New York City, May 20.",a man sitting in a chair holding a microphone
4,"Ali Alghamdi, pictured, quickly realized that his run-in with an angry driver wasn't just a regular case of road rage; it was an incident motivated by hate.",a man wearing a suit and a white shirt
5,"Kathryn Newton, Laura Dern, Nicole Kidman, Shailene Woodley, Zoe Kravitz, Reese Witherspoon, writer/Executive producer David E. Kelley and director/executive producer Jean-Marc Vallee at the premiere of HBO's ""Big Little Lies"" in February 2017.",the cast of tv programme at the premiere
6,"Cedric the Entertainer, real name Cedric Kyles, told HuffPost that his role in the new film ""First Reformed"" is ""the opportunity for me to say I’m the more dramatic character now.""",a black and white photo of a man wearing a hat and glasses
7,"Allison Mack arrives at the United States Eastern District Court for a hearing in relation to the sex-trafficking charges filed against her on May 4, 2018, in New York City.",two men and a woman walking down the street with umbrellas
8,"Daniel Radcliffe looking menacing while shooting guns and wearing tiger feet onset of ""Guns Akimbo"" in Auckland, New Zealand on May 6.",a man in a poncho holding a gun and standing on a wet floor
9,"Serena Williams hugs her father, Richard Williams, after winning her Ladies Singles Final match at the 2012 Wimbledon Tennis Championships in London.",a man and a woman standing next to each other
10,"Nick Carter, Brian Littrell, AJ McLean, Howie Dorough and Kevin Richardson of the Backstreet Boys performing in December.",a group of men singing on a stage
11,"Miss North Dakota 2017, Cara Mund, is crowned as Miss America 2018 in September. For the first time in the Miss America pageant's history, its leadership teams will be headed entirely by women.",a woman in a dress with a crown on her head
12,District Attorney Cyrus Vance Jr. is working with Mayor Bill de Blasio on overhauling the way they people arrested on minor marijuana charges.,a person holding a piece of marijuana in their hand
13,Kylie Jenner and Travis Scott attends Heavenly Bodies: Fashion & The Catholic Imagination Costume Institute Gala at Metropolitan Museum of Art.,actors on the carpet at awards
14,"Paige Patterson, president of Southwestern Baptist Theological Seminary, is a leading figure among Southern Baptists.",a black and white photo of a man with a black hat
15,"The 82 women, led by Cate Blanchett, stand in protest on the steps of the Palais des Festivals at Cannes on Saturday.",actors and actresses on the red carpet at the cannes film festival
16,Joseph James DeAngelo has been charged in connection with all 12 killings attributed to the Golden State Killer.,a man in an orange prison uniform sitting at a table
17,"The father of former White House national security adviser H.R. McMaster died last month at a Philadelphia nursing home after falling and hitting his head, authorities said.",a bald man wearing a suit and tie
18,Two young girls are facing serious charges in Virginia after allegedly plotting via text messages to kill a classmate.,a woman sitting at a table using a cell phone
19,"Film director Roman Polanski during the Netia Off Camera film festival in Krakow, Poland, on May 2, 2018.",an old man with gray hair wearing a suit
